roi,quantile,R0,United States_avg,ar,car,ifr,ir,loo,lp__rhat,waic,n_data_pts,t0
Azerbaijan,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940.0,75.0
BR_Acre,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,738.0,83.0
BR_Acre,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,738.0,83.0
BR_Acre,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,738.0,83.0
BR_Acre,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,738.0,83.0
BR_Acre,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,738.0,83.0
BR_Acre,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,83.0
BR_Acre,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,738.0,83.0
BR_Alagoas,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,882.0,94.0
BR_Alagoas,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,882.0,94.0
BR_Alagoas,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,882.0,94.0
BR_Alagoas,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,882.0,94.0
BR_Alagoas,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,882.0,94.0
BR_Alagoas,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,94.0
BR_Alagoas,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.0,94.0
BR_Amapa,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,822.0,94.0
BR_Amapa,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,822.0,94.0
BR_Amapa,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,822.0,94.0
BR_Amapa,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,822.0,94.0
BR_Amapa,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,822.0,94.0
BR_Amapa,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,94.0
BR_Amapa,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,94.0
BR_Amazonas,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,843.0,82.0
BR_Amazonas,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,843.0,82.0
BR_Amazonas,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,843.0,82.0
BR_Amazonas,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,843.0,82.0
BR_Amazonas,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,843.0,82.0
BR_Amazonas,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,82.0
BR_Amazonas,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.0,82.0
BR_Bahia,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,932.0,78.0
BR_Bahia,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,932.0,78.0
BR_Bahia,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,932.0,78.0
BR_Bahia,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,932.0,78.0
BR_Bahia,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,932.0,78.0
BR_Bahia,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,78.0
BR_Bahia,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,78.0
BR_Ceara,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,886.0,76.0
BR_Ceara,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,886.0,76.0
BR_Ceara,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,886.0,76.0
BR_Ceara,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,886.0,76.0
BR_Ceara,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,886.0,76.0
BR_Ceara,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,76.0
BR_Ceara,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,76.0
BR_Distrito Federal,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,883.0,74.0
BR_Distrito Federal,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,883.0,74.0
BR_Distrito Federal,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,883.0,74.0
BR_Distrito Federal,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,883.0,74.0
BR_Distrito Federal,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,883.0,74.0
BR_Distrito Federal,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,74.0
BR_Distrito Federal,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,883.0,74.0
BR_Espirito Santo,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,906.0,78.0
BR_Espirito Santo,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,906.0,78.0
BR_Espirito Santo,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,906.0,78.0
BR_Espirito Santo,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,906.0,78.0
BR_Espirito Santo,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,906.0,78.0
BR_Espirito Santo,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,78.0
BR_Espirito Santo,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0,78.0
BR_Goias,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,76.0
BR_Goias,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,76.0
BR_Goias,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,76.0
BR_Goias,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,76.0
BR_Goias,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,803.0,76.0
BR_Goias,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,76.0
BR_Goias,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,803.0,76.0
BR_Maranhao,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,83.0
BR_Maranhao,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,83.0
BR_Maranhao,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,83.0
BR_Maranhao,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,83.0
BR_Maranhao,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,870.0,83.0
BR_Maranhao,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,83.0
BR_Maranhao,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,83.0
BR_Mato Grosso,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,862.0,91.0
BR_Mato Grosso,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,862.0,91.0
BR_Mato Grosso,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,862.0,91.0
BR_Mato Grosso,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,862.0,91.0
BR_Mato Grosso,0.975,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,862.0,91.0
BR_Mato Grosso,mean,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,91.0
BR_Mato Grosso,std,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,862.0,91.0
BR_Mato Grosso do Sul,0.025,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,847.0,82.0
BR_Mato Grosso do Sul,0.25,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,847.0,82.0
BR_Mato Grosso do Sul,0.5,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,847.0,82.0
BR_Mato Grosso do Sul,0.75,0.0,0.00041979955072434324,0.0,0.0,0.0,0.0,0.0,,0.0,847.0,82.0
