roi,quantile,q,extra_std,waic,loo
Djibouti,0.75,0.6922003939142841,2.090453927745146,306.0237486631658,306.0439669249084
Djibouti,0.975,1.7886499425839764,2.5123196474735563,348.6609661127388,348.68529579767386
Djibouti,mean,0.4986805080408083,1.9206008884319274,283.65195358685685,283.6700145803104
Djibouti,std,0.48632539011303133,0.27319857565878836,33.168473012088356,33.171671382839534
Dominican Republic,0.025,0.012942277246221684,0.9876093402969152,627.9348067352788,627.9629105045183
Dominican Republic,0.25,0.14126870807222472,1.131186810210796,688.050025521869,688.0827254351348
Dominican Republic,0.5,0.33936277767034373,1.215522573815986,719.592547199126,719.6276587142374
Dominican Republic,0.75,0.6893582040716252,1.3050993329940292,751.135068876383,751.17259199334
Dominican Republic,0.975,1.8812577690486296,1.4925822324686777,811.250287662973,811.2924069239565
Dominican Republic,mean,0.4997156718077756,1.2218482346561736,719.592547199126,719.6276587142374
Dominican Republic,std,0.510173801303636,0.12933643112142057,46.765012615962185,46.768588062208764
Ecuador,0.025,0.011979110057272719,1.3209188254999544,801.9273939781622,802.0251984479346
Ecuador,0.25,0.12163033087802039,1.4730869464527139,880.6355871327804,880.7906821954303
Ecuador,0.5,0.291946093882717,1.559356242678366,921.933862991523,922.1190184915167
Ecuador,0.75,0.5892451880843608,1.6517022453502808,963.2321388502658,963.4473547876031
Ecuador,0.975,1.5912978496095005,1.8440716834315483,1041.9403320048839,1042.2128385350989
Ecuador,mean,0.42840988903534427,1.5658118312087579,921.933862991523,922.1190184915167
Ecuador,std,0.4335182397470964,0.13374523322115806,61.228915408628225,61.27348307972332
Egypt,0.025,0.01463590824892941,0.7969989652839449,782.2319240055123,782.3158423889622
Egypt,0.25,0.15303453188417354,0.8903897583666363,833.4768371207247,833.7236970978254
Egypt,0.5,0.3485248947867253,0.9435444991801224,860.3650996175137,860.697455228725
Egypt,0.75,0.6733252863926924,1.000167048444466,887.2533621143027,887.6712133596245
Egypt,0.975,1.7210151944130656,1.1184745932106983,938.498275229515,939.0790680684879
Egypt,mean,0.4865655924976168,0.9473200986899193,860.3650996175137,860.697455228725
Egypt,std,0.4673656135975463,0.08175688708106421,39.864597629500295,39.99135364630525
El Salvador,0.025,0.010764706098821275,0.47239550771267014,231.6573060190065,231.73829836810836
El Salvador,0.25,0.11796053451160943,0.7100151231663725,254.5283451351982,254.6235212862632
El Salvador,0.5,0.28182106019564573,0.8441328351797214,266.5288046139349,266.6314230215519
El Salvador,0.75,0.5665014527420746,0.9876794747192996,278.5292640926716,278.63932475684055
El Salvador,0.975,1.5416459196892043,1.2866313838595405,301.4003032088633,301.52454767499546
El Salvador,mean,0.4113253137866387,0.8538331613988575,266.5288046139349,266.6314230215519
El Salvador,std,0.4166001277089127,0.20800432700509225,17.791907846261612,17.802941752336288
Estonia,0.025,0.009899947237524891,1.0951115045181539,578.434309880937,578.4937709662067
Estonia,0.25,0.10873548776909195,1.2520410165564728,633.641790915454,633.7416357209468
