roi,quantile,R0,Rt (week 0),Rt (week 1),Rt (week 2),Rt (week 3),Rt (week 4),beta,car (week 0),car (week 1),car (week 2),car (week 3),car (week 4),extra_std,ifr (week 0),ifr (week 1),ifr (week 2),ifr (week 3),ifr (week 4),ll_,loo,mbase,mlocation,sigmac,sigmad,sigmar,sigmau,waic,Rt (week 5),car (week 5),ifr (week 5),Rt (week 10),Rt (week 6),Rt (week 7),Rt (week 8),Rt (week 9),car (week 10),car (week 6),car (week 7),car (week 8),car (week 9),ifr (week 10),ifr (week 6),ifr (week 7),ifr (week 8),ifr (week 9),Rt (week 11),car (week 11),ifr (week 11)
Albania,0.25,2.594416510533311,2.168399026376656,1.9616736590441264,1.8271895459390985,1.7348432495925123,1.66679063537336,0.2616660056035007,0.09639015704295349,0.14055115372716653,0.1701953029381072,0.20106422032596627,0.23098559490471637,0.5432847857201215,0.0029892879576781115,0.007057989993941519,0.010888380969116934,0.015518780450469345,0.020880598656533876,-272.44326632605544,530.5115748151771,0.06047477841690319,16.69468091869564,0.007467848287867995,0.012668731113127656,0.06572385170530762,0.04806048209251918,530.4483587240251,,,,,,,,,,,,,,,,,,,,,
Albania,0.5,3.568399741941427,2.9501261979970983,2.6819671642319083,2.4583596991104937,2.2816779177261646,2.141927078731297,0.33171470512869256,0.1557308563679965,0.22780043006757789,0.27466211977303095,0.320768347967733,0.36538894578394576,0.605734309899491,0.004941789671340776,0.011746208295566649,0.017924708848011037,0.024991610613527022,0.03332705744497726,-270.163740488851,547.1576491012004,0.1032706695585138,25.474452569785043,0.01446474905091286,0.014905554129012046,0.07868229320136896,0.0737618545052754,547.0848194488029,,,,,,,,,,,,,,,,,,,,,
Albania,0.75,5.291772556232894,4.669285732493233,4.260754536542981,3.810494306263543,3.383992759702628,3.0258492582596146,0.5730105981731346,0.25655405671531917,0.3577353649066815,0.4181633701079086,0.4764440755818631,0.5308549313937814,0.6732294629665634,0.00819205716528569,0.019104288834401115,0.02817606080544794,0.03806683656591463,0.04939411178468982,-268.1548159959972,563.8037233872235,0.16319288146329317,28.44629271933392,0.03196668996549101,0.017790345366561804,0.09572886041095713,0.12101551030280548,563.721280173581,,,,,,,,,,,,,,,,,,,,,
Albania,0.975,11.789220469154944,10.879248283888062,10.25604402966114,9.465475886014392,8.561855745680981,7.275041780740958,1.2868644301118235,0.5932605342359571,0.6940048288058634,0.7349826323890059,0.7721848199475672,0.8076443804524774,0.8176924506611677,0.019637731625693218,0.04064151203768551,0.05549979391774924,0.06927853377994174,0.08373676952513534,-265.09698154079626,595.5285933225159,0.29535301011414533,35.50885013028149,0.15715029862623425,0.025872153898529662,0.1517251878211221,0.40044842863457364,595.4278281324795,,,,,,,,,,,,,,,,,,,,,
Albania,mean,4.398365028391856,3.865571466840463,3.5603478152979315,3.258040805451225,2.9641031643513887,2.6714592197365077,0.46197534659279327,0.19877312659402374,0.2686844100701269,0.31023476393003196,0.35170878652594667,0.3906067317850158,0.6112396544151724,0.006395752372532327,0.014452177766716012,0.021157249045566165,0.028419191969023573,0.03675400021084142,-270.475664202527,547.1576491012004,0.12028056325835147,23.28496398072113,0.031124545166287803,0.015636537042699374,0.08395628053464085,0.10743650680801661,547.0848194488029,,,,,,,,,,,,,,,,,,,,,
Albania,std,2.824546841203391,2.6659488823402984,2.536644692680536,2.3417124617996325,2.0734914935707613,1.7037600384538922,0.32678196078189525,0.1453722181382051,0.16860541217415184,0.17871159952091614,0.18882152537068864,0.1988751359728118,0.09755346099186374,0.004962893571998345,0.01016457330237554,0.013722872447023266,0.016940048121782004,0.020525571368274317,3.2594498349073135,24.67950666586706,0.09173255419973997,13.947003722355937,0.06443311471258219,0.004258255577817857,0.027114109566153104,0.12686267182540986,24.66525357863715,,,,,,,,,,,,,,,,,,,,,
Algeria,0.025,1.5808902309326895,1.5603196044841812,1.5259995763395278,1.4945994243526224,1.455803803669641,1.4183722014275713,0.18988271483565228,0.018709485733460648,0.01603023687072352,0.016536187659357673,0.018399113965156824,0.021364416201333357,0.912107030604903,0.0014479865334317134,0.0016113172041066974,0.001779301104011071,0.002170596496825766,0.0029089853016649662,-456.1753309466113,822.8888287920039,0.026170237601439626,8.118694000312749,0.003248692636266342,0.019958668953236898,0.039381106510551205,0.024252717243638415,822.8724764765602,1.3890954377370446,0.024368733563936,0.003890652199198875,,,,,,,,,,,,,,,,,,
Algeria,0.25,2.74553557301262,2.5807478914098168,2.469396935236068,2.350674460779024,2.220341388624454,2.095355826966453,0.2637145141426525,0.0531009526215261,0.06137950158378217,0.06810503305154604,0.0761051247493819,0.08671320416469253,1.0153289698567887,0.004083863656971203,0.0065411101877169454,0.008128723655953714,0.009925057994426249,0.012504707756309349,-452.84626741809177,879.7561985430845,0.18611484542999449,29.657027301690484,0.008504434515690003,0.027846396257203785,0.056456348263940144,0.04733284369692409,879.7236296064796,1.9917907987347667,0.09842906888059494,0.015917445649807526,,,,,,,,,,,,,,,,,,
Algeria,0.5,3.8507591876546554,3.609621985726887,3.439002322096389,3.2151524597622188,2.9725456558599244,2.744363646787753,0.341168228613751,0.093398415855947,0.11721856622542645,0.1343045866241291,0.1527592351435404,0.1713337339541803,1.073791543030259,0.007252209235540648,0.012939563769426225,0.01688236578732745,0.02073353877643059,0.025423885231979915,-451.19391355092796,909.5945702450961,0.3040743386067531,63.681796717203255,0.016935051674733775,0.03385266685085722,0.06955448189780158,0.07158666111357677,909.5534924294616,2.5527890208665758,0.1912797484686437,0.031063205309848192,,,,,,,,,,,,,,,,,,
Algeria,0.75,5.923274030020573,5.614141043988797,5.240834698656499,4.719355099102385,4.190602287646363,3.740033848656964,0.6400446792912371,0.16992582424820868,0.21395825690862336,0.24142331974654457,0.2739781959874158,0.3133887114624908,1.1374489360583158,0.0131421432999744,0.024544514738764376,0.031752235514861775,0.03834948677578445,0.046986774724245714,-449.6599229237186,939.4329419471078,0.4643666417153429,72.67732213623913,0.03694298812510044,0.04154417144288404,0.08716817826807521,0.11536221606203403,939.3833552524435,3.3980961159748655,0.35178859138933494,0.05784968791050713,,,,,,,,,,,,,,,,,,
